Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,FULL SENSE,2,0,Vision Strikers won
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,Crazy Raccoon,2,0,Team Vikings won
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,Cloud9,2,1,FNATIC won
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Gambit Esports,Team Secret,2,1,Gambit Esports won
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Sentinels,FURIA,2,1,Sentinels won
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,KRÜ Esports,Team Liquid,0,2,Team Liquid won
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Vision Strikers,FNATIC,1,2,FNATIC won
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,Envy,X10 Esports,2,0,Envy won
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Gambit Esports,Team Vikings,2,1,Gambit Esports won
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Team Liquid,Sentinels,2,1,Team Liquid won
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Acend,Keyd Stars,2,1,Acend won
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Team Secret,Crazy Raccoon,2,0,Team Secret won
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,KRÜ Esports,FURIA,2,1,KRÜ Esports won
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,FULL SENSE,Cloud9,0,2,Cloud9 won
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Acend,Envy,2,0,Acend won
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,Keyd Stars,X10 Esports,0,2,X10 Esports won
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Sentinels,KRÜ Esports,1,2,KRÜ Esports won
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Vision Strikers,Cloud9,1,2,Cloud9 won
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Team Vikings,Team Secret,0,2,Team Secret won
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Envy,X10 Esports,1,2,X10 Esports won
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Acend,Team Secret,2,0,Acend won
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Team Liquid,Cloud9,2,0,Team Liquid won
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Gambit Esports,X10 Esports,2,1,Gambit Esports won
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,FNATIC,KRÜ Esports,1,2,KRÜ Esports won
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Acend,Team Liquid,2,0,Acend won
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Gambit Esports,KRÜ Esports,2,1,Gambit Esports won
